Tanggal,Wilayah,Stasiun,Temperatur minimum,Temperatur maksimum,Temperatur rata-rata,Kelembapan rata-rata,Curah hujan, Lamanya penyinaran matahari ,Kecepatan angin maksimum,Arah angin saat kecepatan maksimum ,Kecepatan angin rata-rata,Arah angin terbanyak,
12/3/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,30.8,28.4,80,0,8,4,300,1,C ,
13-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.6,32.2,28.4,72,0,2.6,8,315,2,C ,
14-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.2,31.8,27.2,82,0,7.6,7,320,1,C ,
15-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.4,28.4,25.5,90,11,0,4,320,1,C ,
16-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.4,31.2,27.4,82,2.4,0,5,320,1,C ,
17-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.2,32.4,28.6,75,0,8,9,310,2,C ,
18-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,23.8,32.6,28.3,78,0,9.1,3,317,1,C ,
19-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,32,28.7,81,0,8,6,320,2,C ,
20-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,32.4,28.7,75,0,6,5,317,1,C ,
21-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.6,33.6,29.2,69,0,7.6,5,315,0,C ,
22-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,32.6,29.1,76,0,7,3,350,0,C ,
23-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,33.8,29.3,76,0,6.7,9,320,1,C ,
24-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,32,29.3,78,0,7,7,317,1,C ,
25-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.8,27.9,83,0,5,5,320,1,C ,
26-03-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24,30.6,26.8,88,48.7,3,4,300,1,C ,
